price_vnd,area_clean,price_per_m2_clean,district,property_type,cluster_kmeans,cluster_tier,dbscan_label,price_per_m2_safe,price_tier_enc,district_enc,log_area,property_type_enc,legal_status_enc,seller_type_enc,bedroom_per_area,bedrooms,frontage
3720000000.0,81.0,45925925.93,Long Bình,Duy nhất căn 3PN Origami view vườn Nhật giá 3.72 tỷ/81 m2 ký trực tiếp CĐT - TT giãn 210 ngày,2,Bình dân,0,45365853.65853658,3,69,4.406719247264253,6665,5,1006,0.036585365853658534,3.0,0.0
10000000000.0,180.0,55555555.56,Cần Giờ,"Suất nội bộ Vinhomes Cần Giờ, CK 22%, nhà phố 10 tỷ/căn, villas 17 tỷ/căn. Giỏ hàng trực tiếp CĐT",1,Cao cấp,0,55248618.78453039,1,45,5.198497031265826,8898,21,658,0.0,0.0,0.0
5000000000.0,50.0,100000000.0,Xuân Thới Sơn,Chính thức nhận booking mở bán đợt đầu nhà phố Vinhomes SaiGon Park Hóc Môn giá tốt. LH0906 336 ***,1,Cao cấp,0,98039215.68627451,2,165,3.9318256327243257,5125,54,442,0.058823529411764705,3.0,0.0
11200000000.0,80.0,140000000.0,Thạnh Mỹ Tây,"BÁN CH 2PN 80m2 LANDMARK 5 - VHCP BÌNH THẠNH - 1 PHÚT ĐẾN LANDMARK 81, VINCOM, METRO, VIEW SÔNG",3,Luxury,0,138271604.9382716,2,126,4.394449154672439,356,54,149,0.024691358024691357,2.0,0.0
7620000000.0,75.0,101600000.0,Bình Trưng,"Giỏ hàng The Global City giá tốt - 1PN, 2PN, 3PN, 4PN, giá từ 5.08 tỷ, căn đẹp cập nhật liên tục",1,Cao cấp,0,100263157.89473684,2,31,4.330733340286331,7071,17,104,0.02631578947368421,2.0,0.0
3700000000.0,52.0,71153846.15,Phú Thuận,"Vlasta Premier Q7 thanh toán 20% nhận nhà booking nhận ck đến 13% ++ , HTLS 0% miễn phí QL 3 năm",1,Cao cấp,0,69811320.75471698,1,88,3.970291913552122,9359,21,1064,0.018867924528301886,1.0,0.0
3300000000.0,49.0,67346938.78,Phú Định,"Em Đảm cập nhật giỏ hàng D - Aqua 5/2026 1PN 49m2 3.3 tỷ, 54m2 2PN 3.7 tỷ, 68m2 4.35 tỷ.0906 435 ***",1,Cao cấp,0,66000000.0,1,92,3.912023005428146,6747,17,474,0.02,1.0,0.0
9900000000.0,75.0,132000000.0,Cần Giờ,"Suất ngoại giao! Giỏ hàng 75m2 - 300m2 giá chỉ từ 9,9 tỷ biệt thự, nhà phố liền kề Cần Giờ",3,Luxury,0,130263157.89473684,2,45,4.330733340286331,8895,21,71,0.0,0.0,0.0
2490000000.0,65.6,37957317.07,Đông Hòa,"Nhanh sắp hết! Độc quyền giỏ hàng CĐT An Gia - CK 25,5% + xe Vespa + 50tr - LH ngay0902 999 ***",2,Bình dân,0,37387387.38738739,3,342,4.198704577546343,8084,17,94,0.030030030030030033,2.0,0.0
2800000000.0,45.0,62222222.22,Bình Hòa,"Emerald Boulevard giỏ hàng lấy căn theo nhu cầu khách hàng CK đến 14%, TT 50% nhận nhà",1,Cao cấp,0,60869565.217391305,1,20,3.828641396489095,6751,21,1308,0.021739130434782608,1.0,0.0
3500000000.0,60.0,58333333.33,Xuân Thới Sơn,10 suất booking ưu tiên Vinhomes Hóc Môn - Vinhomes Sài Gòn Park,1,Cao cấp,0,57377049.18032787,1,165,4.110873864173311,41,54,396,0.08196721311475409,5.0,5.0
11200000000.0,86.0,130232558.14,Thạnh Mỹ Tây,"Bán CH tầng cao Park 7 2PN 86m2 - vị trí ngay cạnh Vinschool - Vinhomes Central Park, 11,2 tỷ VND",3,Luxury,0,128735632.18390805,2,126,4.465908118654584,672,54,149,0.022988505747126436,2.0,0.0
2800000000.0,50.0,56000000.0,Bình Hòa,"The Emerald Boulevard - căn hộ mặt tiền QL 13 tứ diện view sông giá từ 2,8 tỷ TT 50% nhận nhà",2,Bình dân,0,54901960.78431372,1,20,3.9318256327243257,9092,17,1246,0.0196078431372549,1.0,0.0
