property_type,district,price_vnd,area_clean,price_per_m2_clean,bedrooms,bathrooms,floors,frontage,acces_road,legal_status,furniture_state,seller_type
Duy nhất căn 3PN Origami view vườn Nhật giá 3.72 tỷ/81 m2 ký trực tiếp CĐT - TT giãn 210 ngày,Long Bình,3720000000.0,81.0,45925925.93,3.0,2.0,0.0,0.0,0.0,Có sổ đỏ ( sử dụng chung),Đầy đủ.,Nguyễn Đăng Khoa
"Suất nội bộ Vinhomes Cần Giờ, CK 22%, nhà phố 10 tỷ/căn, villas 17 tỷ/căn. Giỏ hàng trực tiếp CĐT",Cần Giờ,10000000000.0,180.0,55555555.56,0.0,0.0,0.0,0.0,0.0,Không rõ,Không rõ,Ms Thương Vinhomes
Chính thức nhận booking mở bán đợt đầu nhà phố Vinhomes SaiGon Park Hóc Môn giá tốt. LH0906 336 ***,Xuân Thới Sơn,5000000000.0,50.0,100000000.0,3.0,3.0,4.0,0.0,0.0,Sổ đỏ/ Sổ hồng,Không nội thất,Long Nhật Bđs
"BÁN CH 2PN 80m2 LANDMARK 5 - VHCP BÌNH THẠNH - 1 PHÚT ĐẾN LANDMARK 81, VINCOM, METRO, VIEW SÔNG",Thạnh Mỹ Tây,11200000000.0,80.0,140000000.0,2.0,2.0,0.0,0.0,0.0,Sổ đỏ/ Sổ hồng,Đầy đủ,Công Ty Tnhh Thương Mại Hoàng Quốc Tuấn
"Giỏ hàng The Global City giá tốt - 1PN, 2PN, 3PN, 4PN, giá từ 5.08 tỷ, căn đẹp cập nhật liên tục",Bình Trưng,7620000000.0,75.0,101600000.0,2.0,2.0,0.0,0.0,0.0,Hợp đồng mua bán,Không rõ,Cao Quốc Cường
"Vlasta Premier Q7 thanh toán 20% nhận nhà booking nhận ck đến 13% ++ , HTLS 0% miễn phí QL 3 năm",Phú Thuận,3700000000.0,52.0,71153846.15,1.0,1.0,0.0,0.0,0.0,Không rõ,Không rõ,Nhật Lan
"Em Đảm cập nhật giỏ hàng D - Aqua 5/2026 1PN 49m2 3.3 tỷ, 54m2 2PN 3.7 tỷ, 68m2 4.35 tỷ.0906 435 ***",Phú Định,3300000000.0,49.0,67346938.78,1.0,1.0,0.0,0.0,0.0,Hợp đồng mua bán,Không rõ,Lê Hoàng Đảm
"Suất ngoại giao! Giỏ hàng 75m2 - 300m2 giá chỉ từ 9,9 tỷ biệt thự, nhà phố liền kề Cần Giờ",Cần Giờ,9900000000.0,75.0,132000000.0,0.0,0.0,0.0,0.0,0.0,Không rõ,Không rõ,Bùi Tuấn Tài
"Nhanh sắp hết! Độc quyền giỏ hàng CĐT An Gia - CK 25,5% + xe Vespa + 50tr - LH ngay0902 999 ***",Đông Hòa,2490000000.0,65.6,37957317.07,2.0,2.0,0.0,0.0,0.0,Hợp đồng mua bán,Đầy đủ.,Ca Văn Sỹ
"Emerald Boulevard giỏ hàng lấy căn theo nhu cầu khách hàng CK đến 14%, TT 50% nhận nhà",Bình Hòa,2800000000.0,45.0,62222222.22,1.0,0.0,0.0,0.0,0.0,Không rõ,Không rõ,Thuỳ Trang - Gia Hưng Land
